id;createdAt;updatedAt;nome;valuta;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09
55;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Apirene;€/Kg;1,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,90;1,40;0,00
56;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Black magic;€/Kg;1,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,37;1,20;0,00
57;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Vittoria;€/Kg;1,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,55;1,43;0,94;0,00
58;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Bella d'Italia;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,78;0,65;0,00;0,00
59;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Cafona;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,78;0,65;0,00;0,00
60;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,03;1,65;0,00;0,00
61;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Orange red-ruby;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,40;2,40;0,00;0,00
62;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Portici;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,18;1,53;0,00;0,00
63;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Vitillo;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,78;0,65;0,00;0,00
64;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Nettarine bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,16;0,62;0,00;0,00
65;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Carmen ;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;0,00;0,00
66;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Goccia d'oro;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40;1,40;0,00;0,00
67;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Sorriso;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,35;1,35;0,00;0,00
68;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Carmen;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,03;0,00;0,00;0,00
69;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Ninfa;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,90;0,00;0,00;0,00
70;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Pinkot;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,44;0,00;0,00;0,00
71;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Albicocche bio - Tyrinthos;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,90;0,00;0,00;0,00
72;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Asparagi bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,69;3,10;3,10;3,10;0,00;0,00;0,00
73;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Asparagi bio - Verdi;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,98;5,00;5,00;0,00;0,00;0,00
